player_id,player_nick
11152,dmm
8067,s550
8784,SandeN
9078,k0nfig
7964,cadiaN
14443,orangeN
14442,t.
14444,v1xen
14843,kNs
15923,nidai
15922,prince
15924,ttttGOD
15921,jbuzz
15925,Lz
11237,C0NVICT
10629,GRAMPZ
9661,effys
9662,Rarkar
10871,jcrueL
9248,rob-wiz
9664,Pollo
9076,cubed
9074,iannn
8519,DUM0RE
16947,Perfecto
16948,TRAVIS
3473,ARSENY
16939,Kas9k
8345,spaze
735,Dosia
964,mou
8410,arch
8368,jmqa
7973,El Patron
9348,crush
13980,lollipop21k
12269,Jyo
11926,mds
13976,boX
973,SZPERO
14684,jedqr
16848,hades
4829,mynio
11286,ponczek
5351,aVN
10436,sXe
11815,anarkez
18120,sinnopsyy
5061,PERCY
7414,smF
13148,Radifaction
20283,tomiko
20281,darchevile
20282,kRaSnaL
20284,maaryy
15901,Enzo
15501,b0denmaster
17936,bq
20133,Svedjehed
17937,isak
3329,quix
9480,tifa
10557,land1n
10570,dzt
10842,KHTEX
10819,tt
11150,fakebrother
10559,knight
10504,NikoM
11163,trk
2529,Maluk3
13515,Temperature
16823,Skelly
2232,swT
2221,Decko
10412,ROBBY1
15117,Keoz
11940,neaLaN
10052,fitch
16612,n0rb3r7
9656,hAdji
19890,Gringo
147,SIXER
13042,LOGAN
8047,Lambert
8552,Attacker
8605,somebody
7131,BnTeT
7028,Summer
10263,xccurate
18646,biank
12363,Lok
18645,eizy
11584,igorlight
14224,revel
9682,krudeN
11493,sK
11492,Noisia
11494,Dezibel
11496,InJect
11521,jokes
9676,NikkeZ
11491,zedzke
8773,PeetyG
7356,MICHU
9574,snatchie
11652,OKOLICIOUZ
2553,Snax
15204,Vegi
7499,Spiidi
14932,faveN
11701,mirbit
12781,k1to
7248,xseveN
695,allu
11916,sergej
4076,Aerial
5479,suNny
9261,Lekr0
8875,gade
8095,aizy
7156,MSL
8526,smike
11515,kenzor
11250,Flarich
9350,def
9410,kalinka
8460,lukjjE
11320,Carcass
14258,HyPe
9195,aKis
8751,just9n
11181,ichibaNNN
8752,SileNt
8911,sancz
11438,PLAYER1
11231,Subroza
12710,gMd
4835,vEz
5440,flashie
5368,khobra
9666,HenkkyG
2858,maektig
8250,roque
9652,AlluM3tt3
7813,Roombang
7420,NpK
7416,liptoN
5796,tiziaN
7613,hoyland
1040,prb
3964,maak
1485,RUBINO
5042,Skurk
9257,freddieb
10784,RuStY
9255,draken
9256,disco doplan
15697,Sidney
1883,glace
10330,acoR
1889,LOMME
14085,snedker
13298,AlekS
8989,MaTaFe
14558,ec1s
9477,kamil
9905,luckeRRR
9686,Gratisfaction
9636,BURNRUOk
624,deStiny
627,gazR
8746,James
11485,malta
11139,aliStair
11140,INS
8765,Lightstep
9876,zander
15840,koga
17941,ULTRA
19000,Flow
19003,Livid
19001,YSR
19002,AJ
18999,Bungee
1950,tonyblack
3669,innocent
5386,byali
9169,moxie
11460,Tommy
9339,ImpressioN
17834,Kachot
17835,Archa1c
12489,calel
17860,WHiTE
7821,sAw
7529,SAGGERTON
8576,ZOREE
1964,Twista
9034,dejvin
2398,SKYTTEN
5185,DomiNate
44,BARBARR
13297,ZINKEN
9854,Ericip
9763,Jayzwalkingz
13449,RoSeY
12840,hallzerk
15712,MV
9873,ztk
9298,truth
16871,Gospadarov
16870,ProbLeM
12241,Flash_1
8257,hugeon
18313,GreK
18317,magixx
17974,r3x
136,gob b
7256,nex
5797,TONI
7511,denis
8370,mixwell
8369,dragunov
7186,TorPe
317,pashaBiceps
8745,Rickeh
8771,USTILO
8744,emagine
19493,EXR1G
19494,Raptor
19492,bajovic
19496,showcrazy
19495,kalu
13317,Aaron
8733,bodito
14202,coolio
8935,bzt
4206,pTKKK
8753,streboR
8754,Eley
9085,Toy
8521,daps
9042,ryx
8517,Relyks
9258,SicK
1916,seang@res
8794,jasonR
20243,floweaN
17011,shalfey
18670,SELLTER
12887,Kre1N
16147,cptkurtka023
20475,neiter
19913,Ganginho
19591,MERL
10290,spat1ch
7026,DD
5187,captainMo
13510,VANITY
14217,hns
7527,pyth
12524,ozzy
15370,slaxz-
9859,dav1dK
7217,SolEk
15628,MALI
2799,bubble
7834,v1c7oR
5327,nkl
1278,pNshr
3183,spyleadeR
8150,maeVe
7969,tabu
9961,MonttY
7749,queztone
8488,ZEDKO
9358,DEV7L
13320,LS
13322,JD
8984,resu
13017,Brody
13321,Astroo
8983,MiGHTYMAX
7293,Kryptix
11475,jenko
8246,Sliggy
12254,Luzuh
9031,valde
10264,niko
545,MODDII
8783,JUGi
922,Snappi
885,olofmeister
8528,Hobbit
11293,whatz
7327,vts
9416,obj
15885,pr
2260,RIZZZ
8323,mouz
16080,dycha
5388,rallen
9325,arvid
15563,SADDYX
14087,Jamppi
971,KHRN
7537,xartE
77,nooky
9216,coldzera
2023,FalleN
8564,fer
9217,TACO
558,prd
10556,will
10555,dukeN
9219,felps
8568,boltz
11141,erkaSt
8766,dizzyLife
9115,dexter
12876,DickStacy
9103,rbz
9683,IyeN
9104,DANZ
11076,Petra
17214,kr4sylya
1646,zAAz
7653,juliano
8852,mimi
3847,znajder
14526,hemzk9
7443,twist
5373,xelos
11840,Boombl4
8294,balblna
8459,Kvik
11703,Zarin
16827,rUFY
4866,KiNGDOM
11936,DeniMM
16566,fleksy
5738,rikz
14161,RAiLWAY
16613,5lav
14917,hiji
10698,kolor
1064,crisby
3517,kzy
8242,reatz
5385,Luz
10589,rommi
9006,BAS
8724,1uke
10590,fenvicious
203,n0thing
7808,freakazoid
8349,shroud
2555,yam
17619,OMG
15743,thinkii
11513,sc4rx
10321,HUMANZ
16104,Ergasster
13899,la3euka
17508,glowiing
15662,zorte
9818,uli
20593,Airax
15565,Spargo
9820,pietola
15180,Twixie
20119,nilo
19310,LNZ
20285,Mann3n
16726,phzy
15569,Sapec
10458,BLUEE
6447,fredi
10456,oKKo
3143,benq1
13979,Desshustle
13977,fnyekes
13978,Coffee
12030,EspiranTo
11283,ottoNd
13018,Thomas
11343,SHiPZ
8655,xek
5328,psycho
9061,acroN
9060,nJ
11111,LOADING
11112,cox
13466,dennyslaw
16412,rafftu
17145,Rainwaker
14311,H4RR3
10397,cromen
5287,TENZKI
13467,j9
15110,HSK
11248,Leaf
14935,zendy
13461,wannafly
12018,TeSeS
7408,KS
3545,haste
14148,sjuush
10443,Basso
11938,crank
8321,oskarish
7369,peet
9916,mono
2241,rmn
9328,Blastinho
5792,KILLDREAM
12126,poizon
17274,RIjK0
13992,Zix
15369,REDSTAR
12027,Krad
13240,Lack1
13982,Forester
12782,kressy
10367,ecfN
5500,SoMe1
9146,niLssoN
9084,Cedii
7441,zajp
17518,KiiroKami
17377,NiSMO
16546,cynic
13689,opportunity
18519,Keiti
1915,SEMPHIS
7809,mOE
14933,robby
13177,stellar
9054,zNf
15090,PwnAlone
15093,paperboy
16801,AB
15126,RenZ
13473,Fiziq
19728,MyLastChance
20506,Wonderful_Y
19882,Norwi
19615,muR
19012,awesome
15374,h1glaiN
10664,Olivia
12547,SeveN89
10666,MAIROLLS
10705,Kntz
9304,veta
9287,bnwGiggs
10764,cbbk
12129,stk
9288,TOR
8804,atter
8401,Awien
5391,darti
8420,tease
3332,decent
547,t3h f4rm3r
7926,ZEN
8530,NOFEAR
11473,seth
13624,hydra
13622,shushan
15084,ZENCER
13630,Meow
11386,crazyface
15408,RaiNy
11656,Naimres
11448,Sayoko
14982,3yA
29,f0rest
39,GeT_RiGhT
9278,REZ
7722,aNdz
1023,KORN
972,DaY
9028,neto
7397,moen
14602,Marcelious
1146,dennis
16462,Grusarn
8837,akez
15349,maNkz
9895,mertz
11996,Daffu
17956,jabbi
11924,Bernard
17004,blackie
12296,Clash
19066,eneshan
14123,Bowen
18731,wasiNk
15118,SBT
19740,AzeN
15577,OKAYYY
7419,Malzera
17510,J0LZ
19712,castro
16652,battery
15523,vek
14077,AAustiN
20328,HavoK
19711,snav
19710,dare
20036,KEL
19709,shane
16207,DANK1NG
12362,sptdd
12364,XyG
16768,lan
11358,0i
11376,start
16778,B1NGO
14993,AJ
798,oskar
1225,shox
7167,kennyS
7322,apEX
8374,bodyy
7168,NBK-
839,tb
180,Savage
8601,zhokiNg
8957,LOVEYY
8600,advent
9800,BanGa
10170,9/S/
11142,Sideny
10376,traceFIRE
840,karl
10697,blocker
19732,versa
16323,Valiance
13235,L0NER
13691,Church
10886,Nurfed
19076,BxbyJ
9343,sayonara
11737,RIKO
9342,JoshRT
8515,hades
11551,SpyDaemoN
10790,RMN
11550,plx
11552,cad
2496,bld
6547,guerri
170,spacca
11264,WARDELL
3886,seb
12523,stan1ey
9845,vSa
6904,STYKO
6608,zews
17495,PLEEtS
17496,CHOT
17498,Missau
17497,LEOZ
17499,BEARD
11727,Spr
17501,brutAo
17500,DorfusCB
11728,s0mbra
17502,nut
5799,keev
9545,xms
7429,Happy
7169,RpK
10692,iGm
4726,jaxi
8308,d3k1
7508,alexRr
8000,syken
8327,Furlan
11891,phr
14221,kaper
8570,GruBy
2898,raalz
11012,Twinx
16723,Cabbi
15407,Typos
13718,birdfromsky
9911,kreaz
14365,s0m
8522,FugLy
12088,ryann
14925,DeCapitate
16678,Divine
14360,fal.
16677,dReamy
16676,LEXY
9464,dispenser
12633,Garflex
12280,FRiGHT
11436,GaB
10668,GII
8918,electronic
11893,ZywOo
9445,SNk
11842,Ramz1kBO$$
11943,flomaster
7983,sonic
11941,hpp
8604,aumaN
14146,Mr.mao
14147,Soker1
10166,SOLA
14145,Sugar
14561,nighttime
19673,Patsi
17306,degster
17305,FinigaN
9081,S0tF1k
8125,Dima
17609,Toft
13170,kwezz
10993,torben
13843,Lucky
10938,kiR
7368,Hyper
7319,oddo
62,threeman
10923,failzzr
9218,xand
11329,leo_drk
7148,friberg
884,Xizt
7833,KQLY
7391,Uzzziii
7582,FeTiSh
3459,kinqie
12107,frepy
12108,lehazor
13267,elias
8258,synd
18141,biguzera
14781,vhz
17028,abr
14779,FATAL
10828,dok
16748,vaz
9353,paz
20072,FURIOUSS
150,MAJ3R
15728,l0gicman
9857,ngiN
1088,liTTle
1083,AERO
9228,Art
9443,pachanga
19682,CyderX
19187,xfl0ud
20106,QutionerX
19470,Izzy
20107,MYTH
8346,jdm64
8347,hazed
8137,reltuC
434,pita
10417,nuisance
10419,xplicit
10420,tribaL
10418,zoidie
10421,Demonic
8394,Kjaerbye
8320,repo
13058,mattcd
15799,squirepug
11451,pad0s
12995,DiinKy
11792,jkaz
11806,JD
11805,KenNee
13188,Zellsis
5021,swag
15007,Cooper
10892,MarKE
9884,wrath
9660,CONNOR93
10470,mitch
11238,Oderus
14159,s1ck
15714,ZER
15716,MistFire
13673,k0mplex
13538,MKN
7463,Inzta
8848,Ryxxo
10404,Console
8871,Lukki
177,Jewelry
11591,Mi5ERY
11161,Drea3er
10178,jackhan
11430,crow
9585,Laz
12188,barce
13241,poem
13242,takej
10094,CHIMEI
10095,chancehangtsz
12263,fagger
10083,hypathor
10093,TENGU9
13933,Tin
14995,Something
14998,1521871
11380,TunGY
13934,EARTH
14203,Shakezullah
13186,cam
13249,oSee
12713,floppy
9616,AmaNEk
10569,devoduvek
8891,Nodios
13300,Farlig
11995,TMB
15419,Viva
15651,NEXTTIME
11575,LwJ
14920,wnd
14918,f0rsakeN
14919,Histoire
8947,acAp
12940,Lurk0
12958,AE
7288,cENTRYZ
3018,zEVES
8179,Mystic
9871,becker
11278,TOAO
9247,Machinegun
10186,ayaya
10168,bottle
11576,shuadapai
9172,XigN
4637,zeff
9174,HSK
205,glow
174,solo
11398,HARMZ
18223,PokemoN
12198,traNz
17840,Abdurr
11394,KLnT
11395,HSB
15592,Faint
15591,Jwwwd
11396,shoTT
15588,SOULM8
7994,deviaNt
7993,Detrony
11848,massacRe
11646,ZipZip
17383,adaro
17904,adM
14081,TheM4N
13557,bLazE
9744,kanii
16294,Dweezil
11227,ShoT_UP
9259,witmer
17626,nyuu
15139,stealthy
20035,Cam
17627,Laxufy
16682,Rebo
11213,delboNi
16843,fakeS2
9784,sh1zlEE
21015,Kyolka
21016,lwh
20460,dead
20464,ewjerkz
20463,DDias
21014,Ag1l
16844,psh
20461,ditrip
14173,d3k
13572,Emis2
11251,kykaho
14990,keen
16619,msn
14213,Hutler
16616,Interex
16618,Daze
17115,Mackapag
16617,FreakY
11131,PALICH
11129,medusa
3458,lma
11130,ace
9310,Domsterr
7992,blackpoisoN
16811,MisteM
11629,flexeeee
9308,pnd
16295,Taylor
9309,SandpitTurtle
16293,ysgerbwd
9175,Sound
9906,Argency
9336,rindA
12432,kyo
12434,Und3rFr09
12435,Faith
11559,Huby
12433,Lakia
8269,G1DO
7552,kajsk1ng
7996,CRUC1AL
7952,v1N
1030,Monu
11913,zeq
8265,alexsomfan
8832,VigzZ
12052,Crispy
11013,thamlike
11201,DroW
7999,Freestyle
8713,REAL
10300,meesHa
9082,krecker
9083,COLDYY1
5480,jOELZ
694,aslak
7197,JALLU
10774,Freeman
9736,ncl
15072,nin9
9245,Tsogoo
15062,shinobi
7170,SmithZz
4959,kioShiMa
5455,KAB0M
8618,makkeP
7438,anger
7378,Devilwalk
8504,LeX
921,BERRY
13670,nawwk
7716,chopper
5469,moonsh1n3
11205,stadodo
8998,JUST
11215,Olga
11740,nkzaj
11739,shz
11333,zam
11331,f11
2531,bt0
2530,AlaNDieg0R
16847,mhL
8539,leman
8372,matHEND
8158,BouLy
10732,nonick
102,zonixx
7214,strux1
7246,stavros
92,approx
7232,r0bs3n
7231,globe
8118,skube
6451,FNS
13278,crashies
11445,JonahP
12090,FrostayK
15255,Swahn
9213,sickLy
10506,tutehen
9223,guishorro
10499,JonY BoY
13681,tw1ggy
9506,phantom
13250,ben1337
19427,CsGoSnex
15068,inter
17588,autist
14547,Harry
15067,Denny
15082,DK
18619,RyuZU
15081,F1uker
19644,BzZ
18620,Wendy
8248,jkaem
5393,slap
2924,Samzter
9418,peelk
8714,cosmeeeN
3321,WHitE
4717,starkiller
7925,gabesson
9011,Barcode
4282,FoDa
10508,nbl
11746,YJ
13989,ryotzz
11748,raafa
11745,luk
14214,rAW
8429,prelideN
12417,Feagleyy
1261,GekoNs
14208,davsty
16408,endicate
14206,Choice
16138,Dhu
16409,Sylvyrrocks
20089,Maccen
15836,zypztw
20296,mika
20295,Niemann
17826,WillyK
20294,Andie
20293,Tower
11911,Karus
9811,PlesseN
10463,Bååten
8575,Calyx
7938,XANTARES
7980,DESPE
